Title,Combined_Skills,YearsOfExperience
.NET Developer,C#; VB.NET basics; .NET Framework; .NET Core fundamentals; ASP.NET; MVC; HTML; CSS; JavaScript basics; SQL Server; Entity Framework basics; LINQ; Visual Studio; Git; Unit Testing basics .NET; C#; ASP.NET MVC; Entity Framework; SQL Server; LINQ; Visual Studio; Unit Testing C#; .NET Framework basics; ASP.NET; Razor; HTML; CSS; JavaScript basics; SQL Server; Entity Framework basics; NUnit basics .NET; C#; ASP.NET MVC; Entity Framework; SQL Server; Razor; Unit Testing C#; VB.NET basics; .NET Core; ASP.NET MVC; HTML; CSS; JavaScript basics; SQL Server; Git .NET; C#; ASP.NET MVC; SQL Server; Entity Framework; Git C#; .NET Framework; ASP.NET basics; SQL Server; HTML; CSS; LINQ; Visual Studio .NET; C#; SQL Server; Entity Framework; ASP.NET C#; ASP.NET; MVC; Entity Framework basics; SQL Server; HTML; CSS; JavaScript basics .NET; C#; ASP.NET MVC; Entity Framework; SQL Server C#; .NET Framework; ASP.NET; Razor; SQL Server; Git; NUnit basics .NET; C#; ASP.NET; Razor; SQL Server; Unit Testing C#; VB.NET; .NET Core basics; ASP.NET MVC; HTML; CSS; SQL Server; Visual Studio .NET; C#; ASP.NET MVC; SQL Server C#; .NET Framework basics; ASP.NET MVC; Entity Framework basics; SQL Server; LINQ .NET; C#; ASP.NET MVC; Entity Framework; LINQ; SQL Server C#; .NET Framework; ASP.NET; HTML; CSS; SQL Server .NET; C#; ASP.NET; SQL Server C#; ASP.NET MVC; .NET Core basics; Entity Framework basics; SQL Server; Git .NET; C#; ASP.NET MVC; Entity Framework; SQL Server; Git C#; .NET Core; ASP.NET MVC; SQL Server; Entity Framework; REST APIs; Docker; Azure .NET Core; C#; ASP.NET MVC; Microservices; Azure; Entity Framework; REST APIs; Docker C#; ASP.NET Core; SQL Server; Entity Framework; Design Patterns; SOLID Principles; Azure DevOps .NET Core; C#; ASP.NET MVC; SOLID; Azure DevOps; Entity Framework C#; F#; .NET Core; ASP.NET MVC; Microservices; Docker; Kubernetes; Azure .NET Core; C#; Microservices; Docker; Kubernetes; Azure C#; ASP.NET Core; WebAPI; SignalR; SQL Server; NoSQL; Entity Framework .NET Core; C#; ASP.NET MVC; WebAPI; SignalR; Entity Framework C#; .NET Core; ASP.NET MVC; Blazor; Angular; SQL Server; Dapper .NET Core; C#; ASP.NET MVC; Blazor; Angular; SQL Server; Dapper C#; .NET Core; ASP.NET MVC; REST APIs; Docker; Azure DevOps; Testing with NUnit .NET Core; C#; ASP.NET MVC; REST APIs; Docker; Azure DevOps; NUnit C#; ASP.NET Core; WebAPI; gRPC; SQL Server; Azure .NET Core; C#; WebAPI; gRPC; SQL Server; Azure C#; ASP.NET Core; Microservices; Kubernetes; Entity Framework; Azure; SOLID Principles .NET Core; C#; Microservices; Kubernetes; Entity Framework; Azure; SOLID C#; .NET Core; ASP.NET MVC; Testing with xUnit; Moq; Azure .NET Core; C#; ASP.NET MVC; xUnit; Moq; Azure C#; .NET Core; ASP.NET MVC; CI/CD; Azure DevOps; Docker; Kubernetes; REST APIs .NET Core; C#; ASP.NET MVC; CI/CD; Azure DevOps; Docker; Kubernetes; REST APIs,1.25
AI Engineer - Experienced,Python; Java; C++; R; Deep Learning; Reinforcement Learning; NLP; Computer Vision; Generative AI; LLMs; TensorFlow; PyTorch; Scikit-learn; Hugging Face Transformers; ONNX; AWS; GCP; Azure; CI/CD; MLOps; Apache Spark; Hadoop; Docker; Kubernetes; Model Monitoring; SHAP; LIME AI; ML; Mid-Senior Level; Deep Learning; NLP; Cloud; MLOps; TensorFlow; PyTorch Python; Java; C++; R; Deep Learning; NLP; Computer Vision; Generative AI; LLMs; TensorFlow; PyTorch; Scikit-learn; Hugging Face Transformers; ONNX; AWS; GCP; Azure; CI/CD; MLOps; Spark; Hadoop; Docker; Kubernetes; Model Monitoring; SHAP; LIME AI; ML; Senior-Level; Deep Learning; NLP; Cloud; MLOps Python; Java; C++; R; Deep Learning; NLP; Computer Vision; Reinforcement Learning; LLMs; TensorFlow; PyTorch; Keras; Scikit-learn; Hugging Face Transformers; AWS; GCP; Azure; CI/CD; Docker; Kubernetes; Spark; Hadoop; SHAP; LIME AI; ML; Senior-Level; Deep Learning; NLP; Cloud; MLOps Python; Java; C++; R; Deep Learning; NLP; Computer Vision; LLMs; Reinforcement Learning; TensorFlow; PyTorch; Scikit-learn; Hugging Face; ONNX; AWS; GCP; Azure; CI/CD; Docker; Kubernetes; Spark; Hadoop; SHAP; LIME AI; ML; Senior-Level; Deep Learning; NLP; Cloud; MLOps Python; Java; C++; R; Deep Learning; NLP; Computer Vision; Generative AI; LLMs; TensorFlow; PyTorch; Keras; Scikit-learn; Hugging Face; ONNX; AWS; GCP; Azure; Docker; Kubernetes; CI/CD; Hadoop; Spark; SHAP; LIME AI; ML; Senior-Level; Deep Learning; NLP; Cloud; MLOps Python; Java; C++; R; Deep Learning; NLP; Computer Vision; Reinforcement Learning; LLMs; TensorFlow; PyTorch; Keras; Scikit-learn; Hugging Face; AWS; GCP; Azure; Docker; Kubernetes; CI/CD; Spark; Hadoop; SHAP; LIME AI; ML; Senior-Level; Deep Learning; NLP; Cloud; MLOps Python; Java; C++; R; Deep Learning; NLP; Computer Vision; Generative AI; LLMs; TensorFlow; PyTorch; Keras; Scikit-learn; Hugging Face; ONNX; AWS; GCP; Azure; Docker; Kubernetes; CI/CD; Hadoop; Spark; SHAP; LIME AI; ML; Senior-Level; Deep Learning; NLP; Cloud; MLOps Python; Java; C++; R; Deep Learning; NLP; Computer Vision; LLMs; Reinforcement Learning; TensorFlow; PyTorch; Keras; Scikit-learn; Hugging Face; AWS; GCP; Azure; Docker; Kubernetes; CI/CD; Spark; Hadoop; SHAP; LIME AI; ML; Senior-Level; Deep Learning; NLP; Cloud; MLOps Python; Java; C++; R; Deep Learning; NLP; Computer Vision; Generative AI; LLMs; TensorFlow; PyTorch; Keras; Scikit-learn; Hugging Face; ONNX; AWS; GCP; Azure; Docker; Kubernetes; CI/CD; Spark; Hadoop; SHAP; LIME AI; ML; Senior-Level; Deep Learning; NLP; Cloud; MLOps Python; Java; C++; R; Deep Learning; NLP; Computer Vision; Reinforcement Learning; LLMs; TensorFlow; PyTorch; Keras; Scikit-learn; Hugging Face; ONNX; AWS; GCP; Azure; Docker; Kubernetes; CI/CD; Spark; Hadoop; SHAP; LIME AI; ML; Senior-Level; Deep Learning; NLP; Cloud; MLOps,3.85
AI Engineer - Fresher,Python; Java; C++; R; Supervised/Unsupervised Learning; Regression; Classification; Clustering; TensorFlow; PyTorch; Keras; Scikit-learn; Neural Networks; OpenCV; NLTK; Pandas; NumPy; SQL; MongoDB; NoSQL AI; ML; Fresher; Entry-Level; Python; Deep Learning; TensorFlow; PyTorch Python; Java; C++; R; Classification; Regression; Clustering; TensorFlow; PyTorch; Keras; Scikit-learn; Neural Networks; OpenCV; NLTK; Pandas; NumPy; SQL; MongoDB AI; ML; Fresher; Entry-Level; Python; TensorFlow; PyTorch Python; Java; C++; R; Supervised/Unsupervised Learning; Regression; Classification; Clustering; TensorFlow; PyTorch; Keras; Scikit-learn; Neural Networks; OpenCV; NLTK; Pandas; NumPy; SQL; MongoDB AI; ML; Fresher; Entry-Level; Python; Deep Learning; TensorFlow; PyTorch Python; Java; C++; R; Classification; Regression; Clustering; TensorFlow; PyTorch; Keras; Scikit-learn; Neural Networks; OpenCV; NLTK; Pandas; NumPy; SQL; MongoDB AI; ML; Fresher; Entry-Level; Python; TensorFlow; PyTorch Python; Java; C++; R; Supervised/Unsupervised Learning; Regression; Classification; Clustering; TensorFlow; PyTorch; Keras; Scikit-learn; Neural Networks; OpenCV; NLTK; Pandas; NumPy; SQL; MongoDB AI; ML; Fresher; Entry-Level; Python; TensorFlow; Deep Learning Python; Java; C++; R; Classification; Regression; Clustering; TensorFlow; PyTorch; Keras; Scikit-learn; Neural Networks; OpenCV; NLTK; Pandas; NumPy; SQL; MongoDB AI; ML; Fresher; Entry-Level; Python; TensorFlow; PyTorch Python; Java; C++; R; Supervised/Unsupervised Learning; Regression; Classification; Clustering; TensorFlow; PyTorch; Keras; Scikit-learn; Neural Networks; OpenCV; NLTK; Pandas; NumPy; SQL; MongoDB AI; ML; Fresher; Entry-Level; Python; TensorFlow; Deep Learning Python; Java; C++; R; Classification; Regression; Clustering; TensorFlow; PyTorch; Keras; Scikit-learn; Neural Networks; OpenCV; NLTK; Pandas; NumPy; SQL; MongoDB AI; ML; Fresher; Entry-Level; Python; TensorFlow; PyTorch Python; Java; C++; R; Supervised/Unsupervised Learning; Regression; Classification; Clustering; TensorFlow; PyTorch; Keras; Scikit-learn; Neural Networks; OpenCV; NLTK; Pandas; NumPy; SQL; MongoDB AI; ML; Fresher; Entry-Level; Python; TensorFlow; Deep Learning,0.5
AI Prompt Engineer,"Python basics; JavaScript basics; Intro to NLP; Hugging Face Transformers basics; SpaCy basics; NLTK basics; Prompt writing fundamentals; OpenAI GPT models intro; TensorFlow basics; PyTorch basics; Critical thinking; Communication; Collaboration; Creativity Prompt Engineering; NLP; Python; TensorFlow; PyTorch; AI Model Optimization; Hugging Face; GPT; Data Analysis Python basics; JavaScript basics; Intro to NLP; Hugging Face basics; SpaCy basics; NLTK basics; Prompt writing; GPT model exposure; TensorFlow basics; PyTorch basics; Problem-solving; Communication; Teamwork; Creativity Prompt Engineering; NLP; Python; TensorFlow; PyTorch; Hugging Face; GPT; AI Model Optimization Python basics; JavaScript basics; Intro to NLP; Hugging Face basics; SpaCy basics; NLTK basics; Prompt writing fundamentals; OpenAI GPT models exposure; TensorFlow basics; PyTorch basics; Critical thinking; Communication; Collaboration; Creativity Prompt Engineering; NLP; Python; TensorFlow; PyTorch; Hugging Face; GPT; Data Analysis Python basics; JavaScript basics; NLP introduction; Hugging Face basics; SpaCy basics; NLTK basics; Prompt writing fundamentals; GPT models intro; TensorFlow basics; PyTorch basics; Collaboration; Creativity; Problem-solving; Communication Prompt Engineering; NLP; Python; TensorFlow; PyTorch; Hugging Face; GPT; Data Analysis Python basics; JavaScript basics; Intro to NLP; Hugging Face basics; SpaCy basics; NLTK basics; Prompt writing; OpenAI GPT model basics; TensorFlow basics; PyTorch basics; Critical thinking; Communication; Teamwork; Creativity Prompt Engineering; NLP; Python; TensorFlow; PyTorch; Hugging Face; GPT; AI Model Optimization Python basics; JavaScript basics; Introductory NLP; Hugging Face basics; SpaCy basics; NLTK basics; Prompt writing fundamentals; GPT model exposure; TensorFlow basics; PyTorch basics; Problem-solving; Communication; Teamwork; Creativity Prompt Engineering; NLP; Python; TensorFlow; PyTorch; Hugging Face; GPT; AI Model Optimization Python basics; JavaScript basics; Intro NLP; Hugging Face basics; SpaCy basics; NLTK basics; Prompt writing; OpenAI GPT intro; TensorFlow basics; PyTorch basics; Communication; Teamwork; Problem-solving; Creativity Prompt Engineering; NLP; Python; TensorFlow; PyTorch; Hugging Face; GPT; Data Analysis Python basics; JavaScript basics; NLP basics; Hugging Face basics; SpaCy basics; NLTK basics; Prompt writing fundamentals; GPT models intro; TensorFlow basics; PyTorch basics; Critical thinking; Collaboration; Communication; Creativity Prompt Engineering; NLP; Python; TensorFlow; PyTorch; Hugging Face; GPT; AI Model Optimization Python basics; JavaScript basics; Intro to NLP; Hugging Face basics; SpaCy basics; NLTK basics; Prompt writing; OpenAI GPT basics; TensorFlow basics; PyTorch basics; Problem-solving; Communication; Teamwork; Creativity Prompt Engineering; NLP; Python; TensorFlow; PyTorch; Hugging Face; GPT; Data Analysis Python basics; JavaScript basics; NLP basics; Hugging Face basics; SpaCy basics; NLTK basics; Prompt writing fundamentals; GPT models intro; TensorFlow basics; PyTorch basics; Critical thinking; Collaboration; Creativity; Communication Prompt Engineering; NLP; Python; TensorFlow; PyTorch; Hugging Face; GPT; AI Model Optimization Advanced Python; JavaScript advanced; Deep NLP expertise; Hugging Face Transformers; TensorFlow; PyTorch; Advanced prompt design (chain-of-thought, iterative optimization); OpenAI API; Azure Cognitive Services; Machine learning for prompt tuning; Data analysis; Collaboration; Problem-solving; Leadership; Creativity Prompt Optimization; LLM; Machine Learning; NLP; Python; AI Frameworks; API Integration; AI Ethics; Model Fine-tuning Python advanced; JavaScript; NLP frameworks; Hugging Face Transformers; PyTorch; TensorFlow; Chain-of-thought prompting; Iterative prompt optimization; OpenAI API; Azure Cognitive Services; Machine learning analysis; Data visualization; Leadership; Problem-solving; Collaboration Prompt Optimization; LLM; Machine Learning; NLP; Python; AI Frameworks; API Integration Python; Advanced NLP; Hugging Face Transformers; PyTorch; TensorFlow; Prompt chain-of-thought; Iterative prompt design; OpenAI API; Azure Cognitive Services; Data analytics; Collaboration; Leadership; Critical thinking; Communication; Creativity Prompt Optimization; LLM; NLP; Python; AI Frameworks; Model Fine-tuning Advanced Python; JavaScript; NLP techniques; TensorFlow; PyTorch; Hugging Face; Prompt iterative optimization; Chain-of-thought prompting; API integration (OpenAI/Azure); Data analysis; Leadership; Collaboration; Problem-solving; Creativity; Critical thinking Prompt Optimization; LLM; Python; AI Frameworks; API Integration; Model Fine-tuning Python; Advanced NLP; Hugging Face Transformers; PyTorch; TensorFlow; Prompt optimization techniques; Chain-of-thought prompts; LLM tuning; OpenAI API; Azure Cognitive Services; Data analytics; Leadership; Problem-solving; Collaboration; Creativity Prompt Optimization; LLM; Machine Learning; NLP; Python; AI Frameworks; API Integration Python; JavaScript; Advanced NLP; TensorFlow; PyTorch; Hugging Face; Prompt chain-of-thought; Iterative prompt optimization; OpenAI API; Azure Cognitive Services; Data analysis; Leadership; Collaboration; Problem-solving; Creativity Prompt Optimization; LLM; Python; AI Frameworks; Model Fine-tuning Advanced Python; NLP frameworks; Hugging Face Transformers; TensorFlow; PyTorch; Chain-of-thought prompting; Iterative prompt optimization; OpenAI API; Azure Cognitive Services; Data analytics; Collaboration; Leadership; Problem-solving; Creativity; Critical thinking Prompt Optimization; LLM; NLP; Python; AI Frameworks; Model Fine-tuning Python; Advanced NLP; Hugging Face; PyTorch; TensorFlow; Prompt design optimization; Chain-of-thought prompting; OpenAI API; Azure Cognitive Services; Data analysis; Leadership; Collaboration; Problem-solving; Creativity; Critical thinking Prompt Optimization; LLM; Python; AI Frameworks; Model Fine-tuning Python; Advanced NLP; Hugging Face Transformers; TensorFlow; PyTorch; Prompt optimization techniques; Chain-of-thought prompts; OpenAI API; Azure Cognitive Services; Data analytics; Leadership; Collaboration; Problem-solving; Creativity; Critical thinking Prompt Optimization; LLM; Python; AI Frameworks; Model Fine-tuning Advanced Python; NLP frameworks; Hugging Face; PyTorch; TensorFlow; Prompt chain-of-thought; Iterative prompt optimization; OpenAI API; Azure Cognitive Services; Data analysis; Leadership; Collaboration; Problem-solving; Creativity; Critical thinking Prompt Optimization; LLM; Python; AI Frameworks; Model Fine-tuning",0.25
AR/VR Developer,"C++ basics; C# basics; JavaScript basics; Unity basics; Unreal Engine basics; ARKit basics; ARCore basics; Blender basics; Maya basics; 3D modeling basics; UI/UX fundamentals; Spatial computing basics; Communication; Teamwork; Problem-solving Unity; Unreal Engine; C#; ARKit; ARCore; 3D Modeling; Spatial Computing; Motion Tracking; JavaScript C++ basics; C# basics; JavaScript basics; Unity basics; Unreal Engine basics; ARKit basics; ARCore basics; 3D modeling fundamentals; Blender basics; UI/UX fundamentals; Spatial computing basics; Motion tracking basics; Teamwork; Problem-solving; Communication Unity; Unreal Engine; C#; ARKit; ARCore; 3D Modeling; Spatial Computing; Motion Tracking; JavaScript C++ basics; C# basics; JavaScript basics; Unity basics; Unreal Engine basics; ARKit basics; ARCore basics; Blender/Maya basics; 3D modeling basics; UI/UX fundamentals; Spatial computing basics; Problem-solving; Teamwork; Communication; Creativity Unity; Unreal Engine; C#; ARKit; ARCore; 3D Modeling; Spatial Computing; Motion Tracking; JavaScript C++ basics; C# basics; JavaScript basics; Unity basics; Unreal Engine basics; ARKit basics; ARCore basics; Blender basics; Maya basics; UI/UX fundamentals; Spatial computing basics; Motion tracking basics; Problem-solving; Teamwork; Creativity Unity; Unreal Engine; C#; ARKit; ARCore; 3D Modeling; Spatial Computing; Motion Tracking; JavaScript C++ basics; C# basics; JavaScript basics; Unity basics; Unreal Engine basics; ARKit basics; ARCore basics; Blender/Maya basics; 3D modeling basics; UI/UX fundamentals; Spatial computing basics; Motion tracking basics; Teamwork; Communication; Problem-solving Unity; Unreal Engine; C#; ARKit; ARCore; 3D Modeling; Spatial Computing; Motion Tracking; JavaScript C++ advanced; C# advanced; JavaScript advanced; Python basics; Unity advanced; Unreal Engine advanced; ARKit advanced; ARCore advanced; Vuforia; 3D modeling/animation advanced; UI/UX design advanced; Spatial computing; Performance optimization; Cross-platform development; Leadership Unity; Unreal Engine; C#; ARKit; ARCore; 3D Graphics; Spatial Computing; Performance Optimization; Cross-Platform; Machine Learning C++ advanced; C# advanced; JavaScript advanced; Python basics; Unity advanced; Unreal Engine advanced; ARKit advanced; ARCore advanced; Vuforia; 3D modeling/animation advanced; UI/UX design advanced; Spatial computing; Hardware integration; Performance optimization; Leadership Unity; Unreal Engine; C#; ARKit; ARCore; 3D Graphics; Spatial Computing; Performance Optimization; Cross-Platform; Machine Learning C++, C# advanced; JavaScript advanced; Python basics; Unity, Unreal Engine advanced; ARKit, ARCore, Vuforia; 3D modeling/animation advanced; UI/UX design advanced; Spatial computing; Gesture and motion tracking; Performance optimization; Cross-platform development; Machine learning basics; Leadership; Project management; Collaboration Unity; Unreal Engine; C#; ARKit; ARCore; 3D Graphics; Spatial Computing; Performance Optimization; Cross-Platform; Machine Learning C++, C# expert; JavaScript advanced; Python basics; Unity, Unreal Engine expert; ARKit, ARCore, Vuforia; Advanced 3D modeling and animation; UI/UX design expert; Spatial computing; Gesture/motion tracking; Cross-platform deployment; Performance optimization; Machine learning basics; Leadership; Team collaboration; Project management Unity; Unreal Engine; C#; ARKit; ARCore; 3D Graphics; Spatial Computing; Performance Optimization; Cross-Platform; Machine Learning C++, C# expert; JavaScript advanced; Python basics; Unity, Unreal Engine expert; ARKit, ARCore, Vuforia; Advanced 3D graphics; UI/UX expert; Spatial computing; Gesture/motion tracking; Hardware integration; Performance optimization; Machine learning basics; Leadership; Project management; Collaboration Unity; Unreal Engine; C#; ARKit; ARCore; 3D Graphics; Spatial Computing; Performance Optimization; Cross-Platform; Machine Learning C++, C# expert; JavaScript advanced; Python basics; Unity, Unreal Engine expert; ARKit, ARCore, Vuforia; 3D modeling and graphics; UI/UX advanced; Spatial computing; Gesture/motion tracking; Performance tuning; Cross-platform development; Machine learning basics; Leadership; Team management; Project coordination Unity; Unreal Engine; C#; ARKit; ARCore; 3D Graphics; Spatial Computing; Performance Optimization; Cross-Platform; Machine Learning C++, C# expert; JavaScript advanced; Python basics; Unity, Unreal Engine expert; ARKit, ARCore, Vuforia; 3D modeling/animation expert; UI/UX advanced; Spatial computing; Gesture/motion tracking; Cross-platform development; Performance optimization; Machine learning basics; Leadership; Project management; Collaboration Unity; Unreal Engine; C#; ARKit; ARCore; 3D Graphics; Spatial Computing; Performance Optimization; Cross-Platform; Machine Learning C++, C# expert; JavaScript advanced; Python basics; Unity, Unreal Engine expert; ARKit, ARCore, Vuforia; Advanced 3D modeling and animation; UI/UX expert; Spatial computing; Gesture/motion tracking; Performance optimization; Cross-platform development; Machine learning basics; Leadership; Project coordination; Team collaboration Unity; Unreal Engine; C#; ARKit; ARCore; 3D Graphics; Spatial Computing; Performance Optimization; Cross-Platform; Machine Learning C++, C# expert; JavaScript advanced; Python basics; Unity, Unreal Engine expert; ARKit, ARCore, Vuforia; Advanced 3D modeling/animation; UI/UX expert; Spatial computing; Gesture/motion tracking; Cross-platform optimization; Performance tuning; Machine learning basics; Leadership; Team management; Project management Unity; Unreal Engine; C#; ARKit; ARCore; 3D Graphics; Spatial Computing; Performance Optimization; Cross-Platform; Machine Learning C++, C# expert; JavaScript advanced; Python basics; Unity, Unreal Engine expert; ARKit, ARCore, Vuforia; 3D modeling and animation expert; UI/UX expert; Spatial computing; Gesture/motion tracking; Performance optimization; Cross-platform development; Machine learning basics; Leadership; Project management; Team collaboration Unity; Unreal Engine; C#; ARKit; ARCore; 3D Graphics; Spatial Computing; Performance Optimization; Cross-Platform; Machine Learning C++, C# expert; JavaScript advanced; Python basics; Unity, Unreal Engine expert; ARKit, ARCore, Vuforia; Advanced 3D modeling/animation; UI/UX expert; Spatial computing; Gesture/motion tracking; Cross-platform development; Performance optimization; Machine learning basics; Leadership; Project coordination; Team collaboration Unity; Unreal Engine; C#; ARKit; ARCore; 3D Graphics; Spatial Computing; Performance Optimization; Cross-Platform; Machine Learning C++, C# expert; JavaScript advanced; Python basics; Unity, Unreal Engine expert; ARKit, ARCore, Vuforia; 3D modeling/animation expert; UI/UX expert; Spatial computing; Gesture/motion tracking; Performance tuning; Cross-platform development; Machine learning basics; Leadership; Project management; Team collaboration Unity; Unreal Engine; C#; ARKit; ARCore; 3D Graphics; Spatial Computing; Performance Optimization; Cross-Platform; Machine Learning C++, C# expert; JavaScript advanced; Python basics; Unity, Unreal Engine expert; ARKit, ARCore, Vuforia; Advanced 3D modeling and animation; UI/UX expert; Spatial computing; Gesture/motion tracking; Cross-platform development; Performance optimization; Machine learning basics; Leadership; Project management; Team collaboration Unity; Unreal Engine; C#; ARKit; ARCore; 3D Graphics; Spatial Computing; Performance Optimization; Cross-Platform; Machine Learning C++, C# expert; JavaScript advanced; Python basics; Unity, Unreal Engine expert; ARKit, ARCore, Vuforia; 3D modeling/animation expert; UI/UX expert; Spatial computing; Gesture/motion tracking; Cross-platform development; Performance optimization; Machine learning basics; Leadership; Project coordination; Team collaboration Unity; Unreal Engine; C#; ARKit; ARCore; 3D Graphics; Spatial Computing; Performance Optimization; Cross-Platform; Machine Learning C++, C# expert; JavaScript advanced; Python basics; Unity, Unreal Engine expert; ARKit, ARCore, Vuforia; Advanced 3D modeling/animation; UI/UX expert; Spatial computing; Gesture/motion tracking; Performance tuning; Cross-platform development; Machine learning basics; Leadership; Project management; Team collaboration Unity; Unreal Engine; C#; ARKit; ARCore; 3D Graphics; Spatial Computing; Performance Optimization; Cross-Platform; Machine Learning",0.625
Android App Developer Trainee,Kotlin; Java; Android Studio; UI/UX Basics; SQLite; MVC; REST APIs; Git Kotlin; Java; Android Studio; Material Design; UI/UX Design; Android SDK; REST API; SQLite,0.0
Android Architect,Kotlin; Java; Android Studio; MVVM; Clean Architecture; Jetpack; Dagger; Firebase; Room; CI/CD; Unit Testing; Performance Optimization Kotlin; Jetpack; MVVM; Room; Material Design; Dependency Injection; Performance Optimization; CI/CD; Firebase; REST API; Play Store; Debugging; Agile; Unit Testing; Android NDK,5.0
Android Developer,Java; Kotlin; Android Studio; Jetpack; MVVM; Room; REST APIs; Git; Firebase; Unit Testing Kotlin; Jetpack; MVVM; Room; Material Design; Dependency Injection; Performance Optimization; CI/CD; Firebase; REST API; Play Store; Debugging; Agile; Unit Testing; Android NDK,2.5
Android Developer Intern,Java; Kotlin; Android Studio; XML; REST APIs; SQLite; UI/UX Basics; Git; MVC Java; Kotlin; Android Studio; Material Design; UI/UX Design; Android SDK; REST API; SQLite; Mobile Development Kotlin; Java; Android Studio; XML; UI/UX Basics; Git; SQLite; REST API Kotlin; Java; Android Studio; Material Design; UI/UX Design; Android SDK; REST API; SQLite,0.0
Android Developer Trainee,Java; Kotlin; Android Studio; XML; UI/UX Basics; SQLite; REST API; Git Java; Kotlin; Android Studio; Material Design; UI/UX Design; REST API; SQLite,0.0
